identifier,label,set
AERA_AERHY,0,train
BSR_AERHH,0,train
CYAB_AERHY,0,train
RNI_AERHY,0,train
LIPE_AERHY,0,train
WECA_AERHY,0,train
GCAT_AERHY,0,train
FMFL_AERHY,0,train
GSPD_AERHY,0,train
PDA_AGRRK,0,train
APSD_AGRRK,0,train
SDH_RHIRD,0,train
VIRB7_RHIRD,0,train
DCAS_RHIRD,0,train
VIRB9_RHIRD,0,train
SLMH_RHIRD,0,train
NDVA_RHIRD,0,train
PGM_RHIRD,0,train
TRAR_RHIRD,0,train
PGLR_RHIRD,0,train
LACG_RHIRD,0,train
OIAX_AGRRK,0,train
VIRB2_RHIRD,0,train
GLGC_RHIRD,0,train
CPXC_RHIRD,0,train
CPXD_RHIRD,0,train
LACE_RHIRD,0,train
LACF_RHIRD,0,train
LERI_AGRRK,0,train
AHLLM_RHIRD,0,train
PIC1_RHIRD,0,train
OCCM_RHIRD,0,train
ROS_RHIRD,0,train
OCCR_RHIRD,0,train
4HPE1_AGRRK,0,train
VIRB4_RHIRD,0,train
TRAM_RHIRD,0,train
PHRB_AGRFC,0,train
URODH_AGRFC,0,train
DAPA_AGRFC,0,train
AACL_AGRFC,0,train
PHRA_AGRFC,0,train
HUTI_AGRFC,0,train
OCD_AGRT4,0,train
HPPA_AGRFC,0,train
VIRB8_AGRFC,0,train
AHLLB_AGRFC,0,train
DEACT_AGRFC,0,train
VIRE2_AGRFC,0,train
CHVE_AGRFC,0,train
HAD_AGRTR,0,train
MFPP_AGRFC,0,train
MFPS_AGRFC,0,train
RL7_AGRFC,0,train
KHSE_AGRFC,0,train
NOCT_AGRFC,0,train
KDGD_AGRFC,0,train
IPTZ_AGRFC,0,train
PY2CR_AGRFC,0,train
ATSE_AGRFC,0,train
AACP_AGRFC,0,train
ADEC2_AGRFC,0,train
GLI_AGRFC,0,train
BPT_AGRFC,0,train
AQPZ2_AGRFC,0,train
DNAK_AGRFC,0,train
BLH_AGRFC,0,train
BIGR_AGRFC,0,train
VIRD2_AGRFC,0,train
VIRC1_AGRFC,0,train
VIRF_AGRT9,0,train
VIRE1_AGRFC,0,train
Y1656_AGRFC,0,train
VIRB5_AGRFC,0,train
TAGK_AGRFC,0,train
VIRA_AGRT9,0,train
Y232_AGRFC,0,train
Y3911_AGRFC,0,train
TAGPE_AGRFC,0,train
VIRBA_AGRFC,0,train
VIRD4_AGRFC,0,train
APCC_AROAE,0,train
APCD_AROAE,0,train
APCE_AROAE,0,train
APCB_AROAE,0,train
HYDL_PAEAU,0,train
RPPH_BARBK,0,train
VIOA_CHRVO,0,train
PH4H_CHRVO,0,train
VIOC_CHRVO,0,train
VIOB_CHRVO,0,train
VIOD_CHRVO,0,train
HIS2_CHRVO,0,train
IOJAP_CHRVO,0,train
ADC_CHRVO,0,train
MICA_CLAMM,0,train
ARC3_CBDP,0,train
BXD_CBDP,0,train
HA33C_CBCP,0,train
BXX_CLOBO,0,train
HA70C_CBCP,0,train
CEO_CLOBH,0,train
TUBZ_CBCP,0,train
BXDN_CBDP,0,train
HA17C_CBCP,0,train
MTNN_COLP3,0,train
T3HPD_COLP3,0,train
RDPA_DELAC,0,train
OMP32_DELAC,0,train
TFDB_DELAC,0,train
TFDF_DELAC,0,train
CHIA_FLAJ1,0,train
GGGPS_FLAJ1,0,train
LYS4O_FLAJ1,0,train
DPP11_FLAPJ,0,train
CYC7_GEOMG,0,train
SFRA_GEOSL,0,train
TSAL_GEOSL,0,train
CYCC_GEOSL,0,train
IMCH_GEOSL,0,train
BZAF_GEOSL,0,train
AATNT_GEOSL,0,train
CATNT_GEOSL,0,train
SACB_GLUDI,0,train
ADHA_GLUOX,0,train
ADHB_GLUOX,0,train
6PGDH_GLUOX,0,train
GCNK_GLUOX,0,train
ADHS_GLUOX,0,train
GMDH_GLUOX,0,train
POR_GLUOX,0,train
CIMA_LEPIN,0,train
DAPAT_LEPIC,0,train
LP49_LEPIC,0,train
DEF_LEPIN,0,train
LEU12_LEPIN,0,train
CBIC_LEPIN,0,train
CADD_LEPIC,0,train
MLES_LEUME,0,train
ECFA2_LEUMM,0,train
DDL_LEUMM,0,train
ECFA1_LEUMM,0,train
FOLT_LEUMM,0,train
PANT_LEUMM,0,train
LCCC_LEUME,0,train
SUCP_LEUME,0,train
RIBU_LEUMM,0,train
CITC_LEUMC,0,train
LCCB_LEUME,0,train
RL1_METVS,0,train
CSG_METVS,0,train
RL12_METVA,0,train
RL10_METVS,0,train
FAE_METEA,0,train
DHGY_METEA,0,train
FHCA_METEA,0,train
PQQE_METEA,0,train
CYCL_METEA,0,train
PQQCD_METEA,0,train
FHCC_METEA,0,train
FTHS_METEA,0,train
FCHA_METEA,0,train
DMRA_METEA,0,train
MCH_METEA,0,train
FHCB_METEA,0,train
AZUP_METEA,0,train
SGAA_METEA,0,train
PQQB_METEA,0,train
PFLAC_MYCAP,0,train
CARF_MYXXA,0,train
PPOX_MYXXA,0,train
PKN6_MYXXA,0,train
MASK_MYXXD,0,train
NDK_MYXXA,0,train
CARH_MYXXA,0,train
CS4F1_MYXXD,0,train
POMZ_MYXXD,0,train
PKN5_MYXXA,0,train
CRTI_MYXXA,0,train
PDXH_MYXXA,0,train
ACP_MYXXA,0,train
ATPA_MYXXA,0,train
MGLA_MYXXD,0,train
DESS_MYXXA,0,train
DEVT_MYXXD,0,train
DEVR_MYXXD,0,train
CAS3_MYXXD,0,train
DEVS_MYXXD,0,train
CSGA_MYXXA,0,train
CARQ_MYXXA,0,train
CARS_MYXXA,0,train
CAS2_MYXXD,0,train
MBHA_MYXXA,0,train
OAR_MYXXA,0,train
CARR_MYXXA,0,train
FRZE_MYXXA,0,train
FRZCD_MYXXA,0,train
TRMFO_MYXXD,0,train
Y7266_MYXXD,0,train
GALRD_OCEIH,0,train
LYSR_OENOB,0,train
FTSH_OENOE,0,train
BHCC_PARDP,0,train
COX1B_PARDE,0,train
NOSZ_PARDE,0,train
DHML_PARDE,0,train
DHM1_PARDE,0,train
BHCD_PARDP,0,train
QADG_PARDE,0,train
COX2_PARDE,0,train
NQO3_PARDE,0,train
NQO2_PARDE,0,train
KAD_PARDE,0,train
CCOP_PARDP,0,train
CY1_PARDE,0,train
CY550_PARDE,0,train
UCRI_PARDE,0,train
NQO1_PARDE,0,train
NQO11_PARDE,0,train
GFA_PARDE,0,train
DHM2_PARDE,0,train
BHCR_PARDP,0,train
ALDH_PARDP,0,train
C553_PARDE,0,train
AMCY_PARDE,0,train
COX4_PARDE,0,train
CY552_PARDE,0,train
ATPD_PARDP,0,train
ATPE_PARDP,0,train
MAUG_PARDP,0,train
NQO5_PARDE,0,train
ATP6_PARDP,0,train
NUON_PARDP,0,train
SFGH_PARDP,0,train
NUOD_PARDP,0,train
PDTIR_PARDP,0,train
DHMH_PARDE,0,train
HTPA_PARDP,0,train
CYB_PARDE,0,train
ETFB_PARDE,0,train
ATPG_PARDP,0,train
ETFA_PARDE,0,train
FADH_PARDE,0,train
COX3_PARDE,0,train
CCMA_PARDP,0,train
TOXN_PECAT,0,train
PLY1_PECAS,0,train
CAS3_PECAS,0,train
PLY2_PECAS,0,train
CAS1_PECAS,0,train
QUEC_PECAS,0,train
APNO_PECAS,0,train
APSI_PECAS,0,train
OTNI_PECAS,0,train
OTNC_PECAS,0,train
CSY1_PECAS,0,train
CSY2_PECAS,0,train
DERI_PECAS,0,train
OIAC_PECAS,0,train
OMPH_PHOPR,0,train
OMPL_PHOPR,0,train
RHMD_POLSJ,0,train
DCTP1_POLSJ,0,train
DCTP2_POLSJ,0,train
BCPA_PROAE,0,train
CSMA_PROA2,0,train
C555_PROAE,0,train
AMY_PSEHA,0,train
BGAL_PSEHA,0,train
METAS_PSEHT,0,train
PNP_PSEHT,0,train
ALGG_PSEAE,0,train
BAUA_PSEAE,0,train
CAS6_PSEAB,0,train
APAH1_PSEAE,0,train
PAGL_PSEAE,0,train
LAP_PSEAE,0,train
LIGD_PSEAE,0,train
PPX_PSEAE,0,train
RFAP_PSEAE,0,train
CSRA_PSEAE,0,train
PK22_PSEAE,0,train
LASA_PSEAE,0,train
LOX_PSEAI,0,train
NCASE_PSEAE,0,train
ALG44_PSEAE,0,train
DAPD_PSEAE,0,train
ASTG_PSEAE,0,train
DXS_PSEAE,0,train
CY551_PSEAE,0,train
EFG1_PSEAE,0,train
AZOR1_PSEAE,0,train
CNTO_PSEAB,0,train
EAGT6_PSEAE,0,train
BLE1_PSEAI,0,train
CDGBP_PSEAE,0,train
CHRA_PSEAI,0,train
ARCD_PSEAE,0,train
CTPH_PSEAE,0,train
CTX_PSEAI,0,train
DDAH_PSEAE,0,train
ALGA_PSEAE,0,train
BAUB_PSEAE,0,train
CAT4_PSEAE,0,train
ACCD_PSEAE,0,train
ASTD_PSEAE,0,train
AMIR_PSEAE,0,train
ARUI_PSEAE,0,train
AZUR_PSEAE,0,train
BRAC_PSEAE,0,train
COAD_PSEAE,0,train
ALGL_PSEAE,0,train
BPHY_PSEAE,0,train
ALGK_PSEAE,0,train
ALKB1_PSEAE,0,train
BLP1_PSEAI,0,train
ALGE_PSEAE,0,train
ARCA_PSEAE,0,train
ATSE2_PSEAE,0,train
COQ7_PSEAE,0,train
ACCA_PSEAE,0,train
CYC4_PSEAE,0,train
BFR_PSEAE,0,train
CISY_PSEAE,0,train
HCNA_PSEAE,0,train
HCNB_PSEAE,0,train
LASI_PSEAE,0,train
MERR_PSEAI,0,train
MMSA_PSEAE,0,train
